Status,Issue #,Priority,Category,Issue,Tenant,Unit,Closed,Description
FIRST NO ACCESS TO RE- INSPECT VIOLATION,4962300,B,Violations,4962300,,3F,,"SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF CONCEALED WATER LEAK OVER CEILING IN THE BATHROOM LOCATED AT APT 3F, 3rd STORY, 3rd APARTMENT FROM WEST AT NORTH"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,4962293,B,Violations,4962293,,3F,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING IN THE BATHROOM LOCATED AT APT 3F, 3rd STORY, 3rd APARTMENT FROM WEST AT NORTH"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,7166620,B,Violations,7166620,,1G,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING AND WEST WALL IN THE 2nd ROOM FROM NORTH LOCATED AT APT 1G, 1st STORY, 4th APARTMENT FROM SOUTH AT WEST"
VIOLATION WILL BE REINSPECTED,14276861,A,Violations,14276861,,1E,,"SECTION 27-2005 ADM CODE REFIT DOOR IN THE ENTRANCE LOCATED AT APT 1E, 2nd STORY, 2nd APARTMENT FROM SOUTH AT WEST"
DEFECT LETTER ISSUED,14411310,C,Violations,14411310,,3G,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3G, 3rd STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION ''north''"
NOV SENT OUT,15182643,C,Violations,15182643,,6C,,"SECTION 27-2005, 27-2007, 27-2041.1 HMC: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE IN THE ENTRANCE LOCATED AT APT 6C, 6th STORY, 5th APARTMENT FROM NORTH AT EAST"
NOV SENT OUT,15182681,C,Violations,15182681,,,,"SECTION 27-2005, 27-2007, 27-2041.1 HMC: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE AT ENTRANCE LEADING TO THE PARKING LOT AT SOUTH SECTION"
NOV SENT OUT,15182767,B,Violations,15182767,,5F,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE COUNTER BALANCE AT LOWER SASH WINDOW AT 2ND WINDOW FROM SOUTH AT WEST IN THE 1st ROOM FROM NORTH LOCATED AT APT 5F, 5th STORY, 3rd APARTMENT FROM SOUTH AT WEST"
NOV SENT OUT,15182838,C,Violations,15182838,,,,"SECTION 27-2005 ADM CODE REPLACE WITH NEW THE MISSING LOCKING DEVICE AT VESTIBULE ENTRANCE , 1st STORY"
NOT COMPLIED WITH,14449533,B,Violations,14449533,,6G,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE SOUTH WALL, CEILING IN THE 1st ROOM FROM EAST AT SOUTH LOCATED AT APT 6G, 6th STORY, 2nd APARTMENT FROM EAST AT SOUTH"
DEFECT LETTER ISSUED,13972091,B,Violations,13972091,,4F,,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 5 SQ FT AT CEILING IN THE 2nd ROOM FROM EAST LOCATED AT APT 4F, 4th STORY, 3rd APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13802073 ISSUED 05-SEP-20 HAS BEEN UPGRADED TO CLASS B PER ADMINISTRATIVE CODE 27-2017.3a(3)(a) or (b)."
NOV SENT OUT,15190729,A,Violations,15190729,,4G,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL PEELING PAINT SURFACES IN THE 2nd ROOM FROM NORTH, THE KITCHEN , THE 3rd ROOM FROM NORTH AT WEST LOCATED AT APT 4G, 4th STORY, 4th APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,225462,B,Violations,225462,,4J,,"SECTION 27-2018 ADM CODE ABATE THE NUISANCE CONSISTING OF VERMIN ROACHES AT 4 STY APT 4J. , SECTION '' ''"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,7166618,B,Violations,7166618,,1G,,"SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF CONCEALED WATER LEAK AT CEILING IN THE 2nd ROOM FROM NORTH LOCATED AT APT 1G, 1st STORY, 4th APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,8038322,B,Violations,8038322,,4J,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING IN THE SOUTH BEDROOM LOCATED AT APT 4J, 4th STORY, APARTMENT AT NORTH"
NOT COMPLIED WITH,8819504,B,Violations,8819504,,4J,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING IN THE 1st BEDROOM FROM EAST AT SOUTH LOCATED AT APT 4J, 4th STORY, APARTMENT AT NORTH"
